매장명,매장주소
경남거창,경남 거창군 거창읍 중앙로 115-2
경남함양,경남 함양군 함양읍 고운로 58
경남합천,경남 합천군 합천읍 대야로 880-4
경남산청,경남 산청군 산청읍 산청리 166-8
경남창녕,경남 창녕군 창녕읍 창녕대로 18-1 (술정리)
경남의령,경남 의령군 의령읍 행복로1길 87 (동동리)
경남밀양,경남 밀양시 내이동 916
밀양삼문,경남 밀양시 삼문중앙로 23
진주초전,경남 진주시 초전동 1631-4
진주금산,경남 진주시 금산면 중천로 83 (장사리)
진주대안,경남 진주시 대안동 18-11
진주이마트,"경남 진주시 진양호로 477 (인사동, 이마트) 지하 1층"
진주신안,경남 진주시 진양호로 288
진주하대,"경남 진주시 하대로 85 (하대동, 럭스빌) 1층 104호"
진주평거,경남 진주시 새평거로 129 (평거동)
진주과학기술대,경남 진주시 동진로 36-1 (칠암동) 1층
경남함안,경남 함안군 가야읍 가야로 33
진주혁신도시,경남 진주시 사들로 97 (충무공동)
진주충무공동,경남 진주시 충무공동 82-5
진주경상대,경남 진주시 가좌동 639-6
경남하동,경남 하동군 하동읍 읍내리 224-14
신진주역,경남 진주시 가좌동 2064-2
창원감계,"경남 창원시 의창구 북면 감계로 304 (감계리), 1층 101호"
마산호계,경남 창원시 마산회원구 내서읍 호계리 182
마산내서,경남 창원시 마산회원구 내서읍 삼계리 27-1 삼계스포렉스 109호
경남사천,경남 사천시 사천읍 진삼로 1462
창원소답,경남 창원시 의창구 읍성로 55
창원팔용,경남 창원시 의창구 팔용로 428 122호
마산합성,"경남 창원시 마산회원구 3.15대로 744 (합성동, 송하빌딩) 1층 103호"
김해진영,경남 김해시 진영읍 김해대로361번길 8 106호
창원유니시티,경남 창원시 의창구 중동 784-1
김해본산,경남 김해시 진영읍 진영리 1629-4
창원도계,경남 창원시 의창구 도계로60번길 5-19
창원동읍,"경남 창원시 의창구 동읍 의창대로 856 (용잠리, 원창호수아파트)"
마산석전,"경남 창원시 마산회원구 율림교로 13 (양덕동, 메트로엠) 메트로M상가 1층 105호"
마산회원,경남 창원시 마산회원구 북성로 103
마산양덕홈플러스,경남 창원시 마산회원구 삼호로 56
창원상남시장,경남 창원시 성산구 마디미로 16번길 3
창원시티세븐,"경남 창원시 의창구 원이대로 320 (대원동, 더시티세븐) 1층"
마산합포,경남 창원시 마산합포구 중앙동3가 2-3 108호 (315대로 255)
창원홈플러스,경남 창원시 의창구 창원대로 415 1층
비어있음,경남 창원시 의창구 대원동 121 1층
창원봉곡,055-276-3331
창원반송,055-267-3335
신마산,055-245-2265
창원용호,055-264-0821
마산월영,055-255-4599
창원이마트,055-264-0320
창원상남사거리,055-282-8225
창원상남,
